Name,Code
Goalkeeper,gk
Right Back,rb
Right Centre Back,rcb
Left Centre Back,lcb
Left Back,lb
Right Winger,rw
Right Centre Midfielder,rcmf
Left Centre Midfielder,lcmf
Left Winger,lw
Second Striker,ss
Striker,cf
Attacking Midfielder,amf
Right Centre Midfielder,rcmf3
Defensive Midfielder,dmf
Left Centre Midfielder,lcmf3
Right Defensive Midfielder,rdmf
Left Defensive Midfielder,ldmf
Right Attacking Midfielder,ramf
Left Attacking Midfielder,lamf
Right Wing Forward,rwf
Left Wing Forward,lwf
Right Centre Back (3 at the back),rcb3
Centre Back,cb
Left Centre Back (3 at the back),lcb3
Right Wingback,rwb
Left Wingback,lwb
Right Back (5 at the back),rb5
Left Back (5 at the back),lb5
